id,isbn,name,author,publishing,publisheddate,price,pages,description
1,9.78701E+12,侵权法上的作为义务研究,苏艳英,人民出版社,2013,17.9,17,以如何将作为义务引入至我国侵权法领域为主线，对作为义务以及立法机制进行了专题研究，探讨了作为义务存在的合理性以及作为义务的立法构筑模式及路径。围绕此主题，本书主要探讨了作为义务的确立、作为义务的比较法考察、作为义务的配置基础与类型、不作为侵权责任、作为义务的立法模式与路径等问题。
2,9.78702E+12,雪地三游客,埃·凯斯特纳,人民文学出版社,May-00,9.8,9,《雪地三游客》写于作者内心流亡流亡初期。这部诙谐幽默的小说是“非常严峻时期”的产物。在法西期的严密监探下，凯斯特纳试图以一个“善意的、轻松愉快的叙述者”的面目出现。《雪地三游客》是一个戏中有戏跌宕直 伏的喜剧，情节生动感人，风格诙谐幽默，语言浅显易懂，十分适合于青少年阅读欣赏，如果说恺斯特纳在他这个时期写实的诗歌里强调“道德也有其沉重的规律，坏人升天，好人落地”的话，那么这部小说呈献给读者的理想则 是：道德也有其公正的规律；好人升天，坏人落地。只要人们保持一颗纯真的童心，世界就是美好的。
3,9.78702E+12,韩国现代小说选,金承钰,人民文学出版社,Sep-09,20,20,《韩国现代小说选:通过小说阅读韩国》内容简介：《韩国现代小说选》是由韩国文学翻译院组织专家精选的作品集，选取了从1950年代到2000年代反映每个时代精神特征和社会面貌的12部短篇小说。通过描写50年代战争创伤的《受难二代》、60年代颓废一代的《汉城，1964年冬》、70年代产业化时代里精神失乡民的《去森浦的路》，以及反映80年代民众运动和工人运动、90年代个人写作和女性主义文学，2000年代新的写作模式和想像力的作品，小说家们勾画出了一道真实而鲜活的韩国社会的变迁轨迹。镇守要回来了，镇守要活着回来了。某某人来了战死通知书某某人杳无音信不知是死是活而我们镇守今天要活着回来了，一想到这事儿，万道几乎都要飘起来了。也许是听了这消息吧，朴万道一口气就爬上了平常怎么也要歇一两口气儿才能翻过去的龙头坡，尽管胸13怦怦直跳还边喘着粗气，可是爬上了坡顶他都不想歇口气儿，因为隔着田野远远望见的车站里正升起股股白烟而且传来汽笛的长呜声。儿子坐的火车快中午了才会到……
4,9.78702E+12,房间,[爱尔兰] 爱玛·多诺霍,人民文学出版社,Feb-12,29.8,29,"“比电影《美丽人生》更艰难、更伟大的爱。”
入围纽约时报2010年十佳图书、2010年曼布克奖短名单，荣获爱尔兰年度小说大奖
一个年轻妈妈的牢笼，是她五岁儿子的全世界。
我四岁的时候，对这世界一无所知，以为它只是一些故事。我五岁的时候，“妈”对我吐露真相，说真实的世界大到你无法相信，而房间只是它一个又小又臭的碎片。
对五岁的杰克而言，房间就是全世界。这是他出生和成长的地方，他跟妈住在这里，学习、阅读、吃饭、睡觉、游戏。
但对妈而言，房间却是老尼克囚禁她七年的监狱。她在不可能的禁闭环境里尽量让杰克健康成长。每晚，她让杰克睡在衣橱里，不让他看到恶男子强暴她的恐怖画面；她也不让杰克沉溺在电视中，规定他每天看电视的时间。然而，她终究只是一个母亲，而非圣母，她会不耐烦，她会生气地对着杰克大吼，她甚至间或性情绪低落到一整天不肯起床，也不给杰克做饭。正是这复杂而不完美的母性，让人纠结不已。
靠着决心、机智和强大的母爱，妈为杰克创造了人生。但她知道这样是不够的……对她不够，对杰克也不够。她想出一个大胆的脱逃计划，需要仰赖她儿子的勇气，以及大量的运气。她没想到的是，对这计划一旦成功会产生什么样的后果，自己竟然没有充分的准备。
《房间》以杰克的五岁的童真口吻来叙述，兴致勃勃，充满好奇。它不是一个恐怖故事，也没有催泪的企图，反而处处透出人类最为纯净的亲情。五岁的杰克打动了每个人的心，他的声音、他的遭遇、他的天真、他的幽默、他对妈的爱，使得故事虽然设定在这么一个令人不安、几近恐怖的前提上，仍然令人时时感受到希望与力量。"
5,9.78702E+12,简.爱（布面精装典藏本）,夏洛蒂.勃朗特,人民文学出版社,Jan-16,78,78,夏洛蒂·勃朗特编著的《简·爱》（1847）是一部思想内容与艺术形式都十分独特的小说，以抒情浪漫的笔法描写了女家庭教师简·爱与庄园男主人罗切斯特之间的深挚爱情，成功塑造了英国文学中第一个对爱情、生活、社会以及宗教都采取独立自主、积极进取态度的女性形象，被视为“现代女性小说”的楷模。
6,9.78703E+12,妇产科专家的关爱,郭述真,科学人文出版分社,May-05,20,20,全书由三十余名妇产科专家、医学博士、硕士撰写，囊括妇科、产科、妊娠合并性传播疾病、不孕不育、计划生育、新生儿等100种常见病，多发病，将《百病百方》格式化后展示在读者面前。疾病介绍简明浅显，读起来省时省力；保健处方，从"生理、心理、社会"医学模式的大视角，鼓励患者自己动手营造健康。
7,9.78703E+12,沙棘育种与栽培,黄铨,科学,Jul-07,89,89,共3部分12章。包括沙棘遗传资源、遗传改良理论和栽培技术实践。
8,9.78703E+12,中国社会保障制度一体化研究,王国军,科学出版社,2011/5/1,45,45,中国社会保障制度一体化研究，ISBN：9787030307453，作者：王国军 著
9,9.78703E+12,60GHz CMOS锁相环技术,齐玛,科学出版社,Jun-12,50,50,《国外电子信息精品著作:60GHzCMOS锁相环技术(影印版)》内容简介：近年来，毫米波尤其是60GHz频率段的高数据无线传输应用已经备受关注。而在毫米波CMOS电路设计时布线和测量所面临的问题需要科研人员认真解决。《国外电子信息精品著作:60GHzCMOS锁相环技术(影印版)》重点阐述了60GHz无线收发器技术面临的技术挑战，并提出了解决方案。
10,9.78703E+12,风湿病诊疗指南,胡绍先,科学出版社,Apr-13,24,24,"本书共分五章，详细阐述了风湿免疫科各种常见病、多发病、疑难病、急危重症的诊断、鉴别诊断和治疗的思路、方法、步骤与要点，以及新技术、新方法在风湿免疫科临床中的应用,对某些风湿免疫科少见疾病也作了简要介绍，附录中收入了风湿性疾病病史采集及体检特点、重要的国际和国内分类标准、常用实验室检查正常参考值，常用药物剂量与用法。本书内容新颖、全面，重点突出，简明扼要，使用方便，实用性强，是各级风湿科医师、内科医师、基层临床工作者以及风湿科研究生、实习生必备的临床医学便携式参考书。"
11,9.78703E+12,北京蛾类图谱,虞国跃,科学出版社,Jan-15,318,318,"本书介绍了蛾类的基本知识，以图文并茂的形式记录了北京蛾类49科689种，其中北京新记录210种（14种为中国新记录种），每种提供生态照片（均列出拍摄地点和时间）、简单的外部形态特征描述、已知的食性、发生时间及分布等。
本书可为市民、农林生产和科研人士、自然爱好者等提供参考。"
12,9.78704E+12,电路与电工技术,陆国和编,高等教育出版社,2001年1月1日,18.5,18,《电路与电工技术》分为三大部分：直流电路与暂态分析；交流电路；电工技术。同时对继电-接触器控制线路的构成作了详尽介绍和阐述。
13,9.78704E+12,计算机网络基础与局域网构建,姜波,高等教育出版社,Apr-06,23.2,23,"《计算机网络基础与局域网构建》共分9章。第1章主要介绍了计算机单机硬件系统，内容主要包括计算机硬件系统组成、计算机的组装、常用维护工具等；第2、3章主要介绍了计算机网络基础知识，内容主要包括计算机网络基本概念、组成，数据通信基本概念、OSI、TCP／IP参考模型和局域网常用通信协议；第4—6章，介绍了计算机局域网的组网技术，内容主要包括局域网的构建、局域网中所使用的传输介质、网络设备以及在使用过程中应注意的事项。本部分内容操作性、实用性较强，是《计算机网络基础与局域网构建》的重点。第7、8章简单介绍了Internet和Intrant的基本知识及网络安全基础。第9章安排了局域网构建实训，目的是提高学生的动手能力，并通过实践进一步理解并掌握网络基础知识及基本技术。
《计算机网络基础与局域网构建》采用“就业导向的职业能力系统化课程开发方法(VOCSCUM)”进行开发，是国家教育科学“十五”规划国家级课题“IT领域高职课程结构改革与教材改革的研究与实验”的研究成果之一，作为“高等职业教育电子信息类专业‘双证课程’培养方案配套教材”之一，同时也是“CEAC国家信息化培训认证”的指定教材，具有鲜明的特色，可作为高职高专院校电子信息类专业教材。 《计算机网络基础与局域网构建》是“网络系统配置”职业核心能力课程的第一阶段课程，主要涉及计算机网络基础及局域网构建技术的应用，《计算机网络基础与局域网构建》图文并茂地介绍了计算机硬件系统、计算机网络和数据通信的基础知识、局域网基本概念、局域网中所使用的传输介质、网络设备和组网技术以及使用中应注意事项、Internet和Intrant、网络安全等方面的相关概念及知识。 《计算机网络基础与局域网构建》适合于高等职业学校、高等专科学校、成人高等院校、本科院校举办的职业技术学院电子信息类专业教学使用，也可供示范性软件职业技术学院、继续教育学院、民办高校、技能型紧缺人才培养使用。"
14,9.78704E+12,国际投资,杜奇华,高等教育出版社,Aug-06,29,29,国际投资（高等学校国际经济与贸易专业主要课程教材），ISBN：9787040199215，作者：杜奇华
